		V;NFIN
ancadanaz	cadanar	V;IND;PRS;2;PL
ancadaneian	cadanar	V;SBJV;PRS;1;PL
ancadaneias	cadanar	V;SBJV;PRS;2;PL
ancadano	cadanar	V.PTCP;PST;MASC;SG
ancadanos	cadanar	V.PTCP;PST;MASC;PL
ancadanànd	cadanar	V.PTCP;PRS
ancanusch	canuscher	V;IND;PRS;1;SG
ancanuscha	canuscher	V;IND;PRS;3;SG
ancanuschagn	canuscher	V;IND;PRS;1;PL
ancanuschan	canuscher	V;IND;PRS;3;PL
ancanuschas	canuscher	V;SBJV;PRS;2;SG
ancanusched	canuscher	V;IMP;2;PL
ancanuscheian	canuscher	V;SBJV;PRS;1;PL
ancanuscheias	canuscher	V;SBJV;PRS;2;PL
ancanuschel	canuscher	V;IND;PRS;1;SG
ancanuscher	canuscher	V;IND;FUT;1;SG
ancanuschess	canuscher	V;COND;1;SG
ancanuschessan	canuscher	V;COND;1;PL
ancanuschessas	canuscher	V;COND;2;SG
ancanuscheva	canuscher	V;IND;PST;1;SG;IPFV
ancanuschevan	canuscher	V;IND;PST;3;PL;IPFV
ancanuschevas	canuscher	V;IND;PST;2;PL;IPFV
ancanuschez	canuscher	V;IND;PRS;2;PL
ancanuschi	canuscher	V;SBJV;PRS;1;SG
ancanuschian	canuscher	V;SBJV;PRS;3;PL
ancanuschias	canuscher	V;SBJV;PRS;2;SG
ancanuschida	canuscher	V.PTCP;PST;FEM;SG
ancanuschidas	canuscher	V.PTCP;PST;FEM;PL
ancanuschieu	canuscher	V.PTCP;PST;MASC;SG
ancanuschieus	canuscher	V.PTCP;PST;MASC;PL
ancanuschànd	canuscher	V.PTCP;PRS
ancugliagn	cugliear	V;IND;PRS;1;PL
ancugliead	cugliear	V;IMP;2;PL
ancuglieada	cugliear	V.PTCP;PST;FEM;SG
ancuglieadas	cugliear	V.PTCP;PST;FEM;PL
ancugliear	cugliear	V;IND;FUT;1;SG
ancuglieava	cugliear	V;IND;PST;1;SG;IPFV
ancuglieavan	cugliear	V;IND;PST;1;PL;IPFV
ancuglieavas	cugliear	V;IND;PST;2;SG;IPFV
ancuglieaz	cugliear	V;IND;PRS;2;PL
ancuglieian	cugliear	V;SBJV;PRS;1;PL
ancuglieias	cugliear	V;SBJV;PRS;2;PL
ancugliess	cugliear	V;COND;3;SG
ancugliessan	cugliear	V;COND;1;PL
ancugliessas	cugliear	V;COND;2;PL
ancuglieu	cugliear	V.PTCP;PST;MASC;SG
ancuglieus	cugliear	V.PTCP;PST;MASC;PL
ancugliànd	cugliear	V.PTCP;PRS
anculagn	culir	V;IND;PRS;1;PL
anculed	culir	V;IMP;2;PL
anculeian	culir	V;SBJV;PRS;1;PL
anculeias	culir	V;SBJV;PRS;2;PL
anculess	culir	V;COND;1;SG
anculessan	culir	V;COND;1;PL
